,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
126,Griffin,Spalding County,33.2,-84.2,8.0,Georgia,30224,15,13255,59
127,Hampton,Henry County,33.41,-84.3,7.0,Georgia,30228,14,13151,94
128,Hogansville,Troup County,33.2,-84.9,10.0,Georgia,30230,41,13285,95
129,Jackson,Butts County,33.3,-84.0,12.0,Georgia,30233,74,13035,75
130,Jenkinsburg,Butts County,33.32,-84.03,4.0,Georgia,30234,52,13035,75
131,Jonesboro,Clayton County,33.53,-84.33,7.0,Georgia,30236,34,13063,92
132,Jonesboro,Clayton County,33.5,-84.38,4.0,Georgia,30238,6,13063,92
133,Lagrange,Troup County,33.0,-85.1,13.0,Georgia,30240,95,13285,95
134,Lagrange,Troup County,33.0,-85.0,10.0,Georgia,30241,19,13285,95
135,Locust Grove,Henry County,33.3,-84.1,8.0,Georgia,30248,6,13151,94
136,Luthersville,Meriwether County,33.18,-84.7,5.0,Georgia,30251,96,13199,96
137,Mcdonough,Henry County,33.5,-84.0,9.0,Georgia,30252,94,13151,94
138,Mcdonough,Henry County,33.45,-84.19,6.0,Georgia,30253,83,13151,94
139,Meansville,Pike County,33.02,-84.32,5.0,Georgia,30256,11,13231,69
140,Milner,Lamar County,33.1,-84.2,7.0,Georgia,30257,62,13171,64
141,Molena,Pike County,33.0,-84.4,7.0,Georgia,30258,69,13231,69
142,Moreland,Coweta County,33.27,-84.72,6.0,Georgia,30259,79,13077,79
143,Morrow,Clayton County,33.58,-84.33,3.0,Georgia,30260,92,13063,92
144,Newnan,Coweta County,33.4,-84.9,11.0,Georgia,30263,30,13077,79
145,Newnan,Coweta County,33.42,-84.7,7.0,Georgia,30265,31,13077,79
146,Palmetto,Fulton County,33.6,-84.7,9.0,Georgia,30268,16,13121,96
147,Peachtree City,Fayette County,33.39,-84.57,5.0,Georgia,30269,99,13113,99
148,Rex,Clayton County,33.58,-84.27,2.0,Georgia,30273,82,13063,92
149,Riverdale,Clayton County,33.55,-84.4,5.0,Georgia,30274,54,13063,92
150,Senoia,Coweta County,33.3,-84.6,8.0,Georgia,30276,13,13077,79
151,Sharpsburg,Coweta County,33.4,-84.6,9.0,Georgia,30277,57,13077,79
152,Stockbridge,Henry County,33.6,-84.2,8.0,Georgia,30281,2,13151,94
153,The Rock,Upson County,32.97,-84.25,3.0,Georgia,30285,74,13293,74
154,Thomaston,Upson County,32.9,-84.3,12.0,Georgia,30286,57,13293,74
155,Conley,Clayton County,33.65,-84.32,2.0,Georgia,30288,11,13063,92
156,Tyrone,Fayette County,33.48,-84.59,4.0,Georgia,30290,92,13113,99
157,Union City,Fulton County,33.57,-84.54,3.0,Georgia,30291,5,13121,96
158,Williamson,Pike County,33.17,-84.41,7.0,Georgia,30292,21,13231,69
159,Woodbury,Meriwether County,33.0,-84.6,8.0,Georgia,30293,68,13199,96
160,Ellenwood,DeKalb County,33.64,-84.25,6.0,Georgia,30294,39,13089,99
161,Zebulon,Pike County,33.1,-84.31,6.0,Georgia,30295,10,13231,69
162,Riverdale,Clayton County,33.56,-84.45,3.0,Georgia,30296,25,13063,92
163,Forest Park,Clayton County,33.61,-84.36,3.0,Georgia,30297,65,13063,92
164,Atlanta,Fulton County,33.75,-84.39,1.0,Georgia,30303,69,13121,96
166,Atlanta,Fulton County,33.84,-84.38,2.0,Georgia,30305,26,13121,96
167,Atlanta,Fulton County,33.79,-84.35,2.0,Georgia,30306,26,13121,96
168,Atlanta,DeKalb County,33.77,-84.34,2.0,Georgia,30307,24,13089,99
169,Atlanta,Fulton County,33.77,-84.38,1.0,Georgia,30308,47,13121,96
170,Atlanta,Fulton County,33.8,-84.39,2.0,Georgia,30309,63,13121,96
171,Atlanta,Fulton County,33.73,-84.43,3.0,Georgia,30310,56,13121,96
172,Atlanta,Fulton County,33.73,-84.47,3.0,Georgia,30311,21,13121,96
173,Atlanta,Fulton County,33.74,-84.38,2.0,Georgia,30312,82,13121,96
174,Atlanta,Fulton County,33.76,-84.4,2.0,Georgia,30313,3,13121,96
175,Atlanta,Fulton County,33.76,-84.43,2.0,Georgia,30314,91,13121,96
176,Atlanta,Fulton County,33.7,-84.38,3.0,Georgia,30315,81,13121,96
177,Atlanta,DeKalb County,33.74,-84.34,3.0,Georgia,30316,35,13089,99
178,Atlanta,DeKalb County,33.75,-84.32,2.0,Georgia,30317,27,13089,99
179,Atlanta,Fulton County,33.79,-84.44,4.0,Georgia,30318,58,13121,96
180,Atlanta,DeKalb County,33.86,-84.35,4.0,Georgia,30319,99,13089,99
181,Atlanta,Fulton County,33.82,-84.36,2.0,Georgia,30324,46,13121,96
182,Atlanta,Fulton County,33.85,-84.36,0.7954545454545454,Georgia,30326,94,13121,96
183,Atlanta,Fulton County,33.86,-84.42,4.0,Georgia,30327,42,13121,96
184,Atlanta,Fulton County,33.93,-84.4,3.0,Georgia,30328,12,13121,96
185,Atlanta,DeKalb County,33.83,-84.33,3.0,Georgia,30329,70,13089,99
186,Atlanta,Fulton County,33.72,-84.56,7.0,Georgia,30331,79,13121,96
187,Atlanta,Fulton County,33.749,-84.387,0.17045454545454544,Georgia,30334,87,13121,96
188,Atlanta,Fulton County,33.74,-84.57,4.0,Georgia,30336,30,13121,96
189,Atlanta,Fulton County,33.64,-84.44,3.0,Georgia,30337,33,13121,96
190,Atlanta,DeKalb County,33.94,-84.32,3.0,Georgia,30338,23,13089,99
191,Atlanta,Cobb County,33.87,-84.45,4.0,Georgia,30339,90,13067,93
192,Atlanta,DeKalb County,33.89,-84.23,3.0,Georgia,30340,41,13089,99
193,Atlanta,DeKalb County,33.89,-84.28,3.0,Georgia,30341,74,13089,99
194,Atlanta,Fulton County,33.88,-84.38,3.0,Georgia,30342,88,13121,96
195,Atlanta,Fulton County,33.68,-84.44,4.0,Georgia,30344,31,13121,96
196,Atlanta,DeKalb County,33.85,-84.28,2.0,Georgia,30345,25,13089,99
