State,County,City,ZipCode,Lat,Long,Radius,Score
Georgia,Jefferson County,Wrens,30833,33.2,-82.4,8.0,56
Georgia,Richmond County,Augusta,30901,33.43,-81.96,5.0,171
Georgia,Richmond County,Augusta,30904,33.48,-82.02,4.0,16
Georgia,Richmond County,Augusta,30905,33.4,-82.17,5.0,239
Georgia,Richmond County,Augusta,30906,33.3,-82.0,10.0,159
Georgia,Columbia County,Augusta,30907,33.53,-82.09,5.0,111
Georgia,Richmond County,Augusta,30909,33.48,-82.1,6.0,14
Georgia,Richmond County,Augusta,30912,33.469,-81.989,0.3977272727272727,155
Georgia,Wilcox County,Abbeville,31001,32.0,-83.3,12.0,49
Georgia,Emanuel County,Adrian,31002,32.6,-82.6,11.0,20
Georgia,Houston County,Bonaire,31005,32.5,-83.6,9.0,72
Georgia,Taylor County,Butler,31006,32.6,-84.3,13.0,272
Georgia,Dooly County,Byromville,31007,32.2,-83.9,9.0,247
Georgia,Peach County,Byron,31008,32.6,-83.8,7.0,84
Georgia,Laurens County,Cadwell,31009,32.3,-83.0,10.0,56
Georgia,Dodge County,Chauncey,31011,32.1,-83.1,7.0,215
Georgia,Dodge County,Chester,31012,32.4,-83.2,8.0,284
Georgia,Bleckley County,Cochran,31014,32.4,-83.3,14.0,255
Georgia,Crisp County,Cordele,31015,31.9,-83.8,12.0,96
Georgia,Monroe County,Culloden,31016,32.8,-84.1,12.0,177
Georgia,Twiggs County,Danville,31017,32.6,-83.2,9.0,30
Georgia,Washington County,Davisboro,31018,33.0,-82.6,12.0,244
Georgia,Laurens County,Dexter,31019,32.42,-83.05,6.0,125
