,City,County,Lat,Long,Radius,State,ZipCode,ZipScore,id,CountyScore
26,Lawrenceville,Gwinnett County,34.01,-84.01,6.0,Georgia,30043,36,13135,99
27,Lawrenceville,Gwinnett County,33.92,-84.07,5.0,Georgia,30044,66,13135,99
28,Lawrenceville,Gwinnett County,33.93,-83.92,6.0,Georgia,30045,28,13135,99
29,Lawrenceville,Gwinnett County,33.95,-84.0,4.0,Georgia,30046,90,13135,99
30,Lilburn,Gwinnett County,33.87,-84.11,5.0,Georgia,30047,37,13135,99
31,Loganville,Walton County,33.8,-83.9,8.0,Georgia,30052,18,13297,94
32,Oxford,Newton County,33.68,-83.86,6.0,Georgia,30054,54,13217,99
33,Mansfield,Jasper County,33.5,-83.7,10.0,Georgia,30055,80,13159,95
34,Newborn,Jasper County,33.5,-83.65,6.0,Georgia,30056,95,13159,95
35,Lithonia,DeKalb County,33.74,-84.1,5.0,Georgia,30058,88,13089,97
36,Marietta,Cobb County,33.93,-84.54,6.0,Georgia,30060,70,13067,96
37,Marietta,Cobb County,34.0,-84.47,5.0,Georgia,30062,71,13067,96
38,Marietta,Cobb County,33.93,-84.62,5.0,Georgia,30064,37,13067,96
39,Marietta,Cobb County,34.02,-84.5,5.0,Georgia,30066,17,13067,96
40,Marietta,Cobb County,33.93,-84.46,4.0,Georgia,30067,91,13067,96
41,Marietta,Cobb County,33.97,-84.44,5.0,Georgia,30068,3,13067,96
42,Norcross,Gwinnett County,33.94,-84.21,4.0,Georgia,30071,23,13135,99
43,Decatur,Dekalb County,,,,Georgia,30073,13,[],80
44,Roswell,Fulton County,34.06,-84.38,5.0,Georgia,30075,48,13121,98
45,Roswell,Fulton County,34.02,-84.31,4.0,Georgia,30076,6,13121,98
46,Snellville,Gwinnett County,33.86,-84.01,4.0,Georgia,30078,7,13135,99
47,Scottdale,DeKalb County,33.79,-84.26,1.0,Georgia,30079,77,13089,97
48,Smyrna,Cobb County,33.87,-84.5,4.0,Georgia,30080,94,13067,96
49,Smyrna,Cobb County,33.86,-84.53,3.0,Georgia,30082,53,13067,96
50,Stone Mountain,DeKalb County,33.79,-84.2,4.0,Georgia,30083,52,13089,97
51,Tucker,DeKalb County,33.86,-84.21,3.0,Georgia,30084,7,13089,97
52,Stone Mountain,DeKalb County,33.82,-84.11,5.0,Georgia,30087,15,13089,97
53,Stone Mountain,DeKalb County,33.76,-84.17,3.0,Georgia,30088,52,13089,97
54,Marietta,Cobb County,,,,Georgia,30090,88,13067,96
55,Norcross,Gwinnett County,33.97,-84.23,3.0,Georgia,30092,81,13135,99
56,Norcross,Gwinnett County,33.91,-84.18,4.0,Georgia,30093,50,13135,99
57,Conyers,Rockdale County,33.6,-84.1,7.0,Georgia,30094,48,13247,74
58,Duluth,Gwinnett County,33.98,-84.15,5.0,Georgia,30096,17,13135,99
59,Duluth,Fulton County,34.02,-84.14,5.0,Georgia,30097,97,13121,98
60,Acworth,Cobb County,34.03,-84.7,7.0,Georgia,30101,79,13067,96
61,Acworth,Cherokee County,34.11,-84.63,6.0,Georgia,30102,100,13057,100
62,Adairsville,Bartow County,34.4,-84.9,9.0,Georgia,30103,98,13015,98
63,Aragon,Polk County,34.09,-85.06,5.0,Georgia,30104,34,13233,85
64,Armuchee,Floyd County,34.5,-85.2,9.0,Georgia,30105,9,13115,94
